"income","education","occupation","type.of.home","ethnic.classification"
"[15,20)","college (1-3 years)","sales","house","white"
"[30,40)","grades 9-11","student","house","white"
"[25,30)","college graduate","retired","house","white"
"[50,75)","high school graduate","professional/managerial","other","white"
"[30,40)","college graduate","professional/managerial","house","white"
"[30,40)","college (1-3 years)","homemaker","house","asian"
"[15,20)","high school graduate","laborer","apartment","black"
"75+","college (1-3 years)","homemaker","house","white"
"75+","college (1-3 years)","unemployed","house","white"
"[10,15)","grades 9-11","professional/managerial","house","white"
"[25,30)","college (1-3 years)","clerical/service","condominium","white"
"[10,15)","college (1-3 years)","student","house","hispanic"
"[25,30)","college (1-3 years)","homemaker","apartment","white"
"[25,30)","college (1-3 years)","sales","house","white"
"[30,40)","high school graduate","sales","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","black"
"[30,40)","college graduate","sales","house","pacific islander"
"[50,75)","high school graduate","sales","house","black"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[25,30)","college graduate","professional/managerial","apartment","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","high school graduate","unemployed","apartment","black"
"[0,10)","grades 9-11","student","house","other"
"[10,15)","high school graduate","sales","house","white"
"75+","college (1-3 years)","homemaker","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","high school graduate","clerical/service","house","white"
"[40,50)","high school graduate","laborer","house","white"
"[30,40)","college graduate","homemaker","house","white"
"[30,40)","graduate study","professional/managerial","house","white"
"[30,40)","grades 9-11","unemployed","other","pacific islander"
"[25,30)","college (1-3 years)","laborer","apartment","white"
"[25,30)","college graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","high school graduate","homemaker","house","white"
"[0,10)","grades 9-11","laborer","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","high school graduate","laborer","apartment","white"
"[0,10)","high school graduate","student","house","white"
"[10,15)","high school graduate","military","house","asian"
"[30,40)","college (1-3 years)","sales","house","other"
"[40,50)","grades 9-11","unemployed","house","white"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","college graduate","professional/managerial","house","white"
"[25,30)","high school graduate","laborer","apartment","hispanic"
"[0,10)","grades 9-11","sales","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","asian"
"[50,75)","college graduate","professional/managerial","house","black"
"[30,40)","high school graduate","student","house","white"
"[30,40)","college (1-3 years)","laborer","house","white"
"[30,40)","high school graduate","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","high school graduate","clerical/service","mobile Home","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","sales","house","white"
"[40,50)","college graduate","military","apartment","white"
"[30,40)","college graduate","laborer","house","black"
"[25,30)","college (1-3 years)","laborer","house","black"
"[0,10)","grades 9-11","student","house","black"
"[25,30)","high school graduate","student","house","black"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","american indian"
"[30,40)","college graduate","retired","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"[15,20)","high school graduate","sales","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","grades 9-11","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","graduate study","sales","house","hispanic"
"[20,25)","high school graduate","clerical/service","apartment","black"
"[20,25)","grades 9-11","laborer","house","black"
"[0,10)","grades 9-11","student","condominium","east indian"
"[25,30)","college graduate","professional/managerial","house","asian"
"[0,10)","college (1-3 years)","homemaker","house","white"
"[0,10)","college (1-3 years)","student","house","asian"
"[0,10)","college (1-3 years)","homemaker","house","asian"
"[0,10)","grades 9-11","student","condominium","east indian"
"[10,15)","high school graduate","retired","house","black"
"[20,25)","college (1-3 years)","sales","house","black"
"[50,75)","college (1-3 years)","sales","apartment","black"
"[40,50)","college (1-3 years)","laborer","house","white"
"[20,25)","high school graduate","homemaker","apartment","hispanic"
"[0,10)","high school graduate","unemployed","house","black"
"[50,75)","high school graduate","sales","house","black"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","high school graduate","unemployed","house","black"
"[0,10)","grades 9-11","student","apartment","american indian"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","high school graduate","unemployed","apartment","black"
"[50,75)","grades 9-11","unemployed","house","black"
"[40,50)","high school graduate","clerical/service","apartment","asian"
"[25,30)","high school graduate","homemaker","house","american indian"
"[15,20)","college (1-3 years)","laborer","house","american indian"
"[20,25)","high school graduate","homemaker","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[40,50)","high school graduate","homemaker","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[25,30)","high school graduate","homemaker","house","white"
"[20,25)","high school graduate","homemaker","house","white"
"[40,50)","college (1-3 years)","sales","house","white"
"[50,75)","college graduate","sales","apartment","white"
"[40,50)","college graduate","professional/managerial","house","white"
"[40,50)","graduate study","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college (1-3 years)","homemaker","apartment","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[25,30)","college graduate","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","black"
"[40,50)","college (1-3 years)","laborer","house","white"
"[30,40)","high school graduate","clerical/service","house","white"
"[25,30)","high school graduate","laborer","house","white"
"[0,10)","grade <9","student","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","college graduate","unemployed","other","other"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[10,15)","college (1-3 years)","sales","apartment","white"
"[25,30)","college (1-3 years)","homemaker","condominium","white"
"[20,25)","college (1-3 years)","homemaker","house","white"
"[15,20)","high school graduate","professional/managerial","apartment","white"
"[15,20)","college (1-3 years)","student","house","asian"
"75+","college graduate","professional/managerial","house","white"
"75+","high school graduate","homemaker","house","white"
"[25,30)","high school graduate","homemaker","house","white"
"[20,25)","college (1-3 years)","homemaker","house","white"
"[20,25)","high school graduate","laborer","house","white"
"[0,10)","high school graduate","clerical/service","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[15,20)","college (1-3 years)","sales","house","hispanic"
"[40,50)","grades 9-11","student","house","pacific islander"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[40,50)","high school graduate","student","house","asian"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","college (1-3 years)","sales","apartment","white"
"[40,50)","college (1-3 years)","laborer","house","white"
"[0,10)","grades 9-11","student","condominium","hispanic"
"[0,10)","college (1-3 years)","clerical/service","house","white"
"[0,10)","high school graduate","unemployed","condominium","american indian"
"75+","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college (1-3 years)","laborer","house","white"
"[0,10)","college (1-3 years)","clerical/service","apartment","white"
"[0,10)","grades 9-11","sales","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","condominium","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","laborer","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","grades 9-11","sales","house","white"
"75+","grades 9-11","laborer","house","white"
"[30,40)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","east indian"
"[0,10)","grades 9-11","student","house","white"
"75+","grades 9-11","clerical/service","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"75+","grades 9-11","unemployed","house","asian"
"[50,75)","college (1-3 years)","laborer","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","laborer","house","black"
"[0,10)","grades 9-11","student","house","asian"
"[25,30)","college (1-3 years)","clerical/service","house","white"
"[0,10)","grades 9-11","student","house","black"
"[20,25)","college (1-3 years)","professional/managerial","house","white"
"[15,20)","high school graduate","sales","house","hispanic"
"[0,10)","high school graduate","student","condominium","white"
"[40,50)","college (1-3 years)","unemployed","house","pacific islander"
"[40,50)","college (1-3 years)","student","house","asian"
"[30,40)","grades 9-11","sales","mobile Home","white"
"[15,20)","college (1-3 years)","professional/managerial","house","white"
"[20,25)","college (1-3 years)","sales","house","white"
"[50,75)","college (1-3 years)","professional/managerial","apartment","white"
"[50,75)","high school graduate","professional/managerial","condominium","white"
"[50,75)","college graduate","clerical/service","house","white"
"75+","college (1-3 years)","clerical/service","house","white"
"[50,75)","college (1-3 years)","laborer","house","hispanic"
"[50,75)","high school graduate","homemaker","house","white"
"[15,20)","high school graduate","laborer","house","black"
"[20,25)","college (1-3 years)","student","house","white"
"[30,40)","college (1-3 years)","student","house","hispanic"
"[20,25)","high school graduate","professional/managerial","house","asian"
"[0,10)","high school graduate","student","house","asian"
"75+","college graduate","professional/managerial","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","hispanic"
"[50,75)","college (1-3 years)","unemployed","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","high school graduate","laborer","mobile Home","hispanic"
"[50,75)","high school graduate","professional/managerial","house","white"
"[10,15)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","hispanic"
"[40,50)","college (1-3 years)","student","condominium","asian"
"[40,50)","high school graduate","student","house","hispanic"
"[15,20)","high school graduate","sales","condominium","black"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","high school graduate","homemaker","mobile Home","white"
"[50,75)","college (1-3 years)","student","house","asian"
"[20,25)","high school graduate","homemaker","condominium","white"
"[30,40)","high school graduate","unemployed","house","white"
"[15,20)","college (1-3 years)","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","condominium","white"
"[0,10)","grades 9-11","student","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[0,10)","college (1-3 years)","student","house","asian"
"[50,75)","grades 9-11","student","house","other"
"[50,75)","college graduate","homemaker","house","white"
"[25,30)","college (1-3 years)","professional/managerial","house","white"
"[20,25)","high school graduate","homemaker","apartment","white"
"75+","college (1-3 years)","clerical/service","house","white"
"[40,50)","high school graduate","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","student","house","white"
"[15,20)","high school graduate","professional/managerial","house","hispanic"
"[0,10)","high school graduate","student","house","hispanic"
"[20,25)","high school graduate","laborer","house","hispanic"
"[30,40)","grades 9-11","homemaker","apartment","hispanic"
"[25,30)","grades 9-11","student","house","hispanic"
"[30,40)","grades 9-11","sales","house","white"
"75+","high school graduate","sales","house","white"
"[30,40)","college (1-3 years)","student","condominium","hispanic"
"[25,30)","grades 9-11","laborer","house","white"
"[40,50)","college (1-3 years)","student","house","other"
"[0,10)","college (1-3 years)","student","house","white"
"75+","graduate study","homemaker","house","white"
"[30,40)","college (1-3 years)","laborer","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[10,15)","college (1-3 years)","laborer","house","white"
"[50,75)","college (1-3 years)","laborer","house","white"
"[0,10)","grades 9-11","unemployed","house","white"
"[40,50)","high school graduate","laborer","condominium","other"
"[50,75)","college (1-3 years)","professional/managerial","house","black"
"[30,40)","college graduate","laborer","house","white"
"[25,30)","college (1-3 years)","homemaker","house","white"
"75+","high school graduate","professional/managerial","apartment","white"
"75+","college graduate","professional/managerial","house","american indian"
"75+","graduate study","professional/managerial","house","asian"
"[20,25)","high school graduate","student","house","asian"
"[30,40)","high school graduate","student","house","other"
"75+","college (1-3 years)","student","house","white"
"[40,50)","college graduate","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[50,75)","college (1-3 years)","sales","house","white"
"[15,20)","college (1-3 years)","clerical/service","house","asian"
"[50,75)","college graduate","clerical/service","house","white"
"[15,20)","high school graduate","clerical/service","house","hispanic"
"[30,40)","high school graduate","laborer","apartment","asian"
"[30,40)","high school graduate","laborer","apartment","asian"
"[0,10)","grades 9-11","unemployed","house","white"
"[15,20)","high school graduate","professional/managerial","house","american indian"
"[50,75)","college graduate","professional/managerial","house","asian"
"[40,50)","college graduate","military","apartment","white"
"75+","high school graduate","professional/managerial","house","hispanic"
"[20,25)","college (1-3 years)","laborer","house","other"
"[30,40)","college (1-3 years)","laborer","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[30,40)","high school graduate","professional/managerial","house","hispanic"
"[0,10)","college graduate","student","house","asian"
"[25,30)","high school graduate","laborer","condominium","pacific islander"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","high school graduate","student","house","american indian"
"[0,10)","grades 9-11","laborer","house","white"
"[0,10)","high school graduate","laborer","house","white"
"75+","college (1-3 years)","clerical/service","house","asian"
"[0,10)","high school graduate","unemployed","house","white"
"75+","grades 9-11","student","house","hispanic"
"[0,10)","high school graduate","professional/managerial","other","hispanic"
"[0,10)","high school graduate","student","house","hispanic"
"[10,15)","grade <9","student","condominium","hispanic"
"[50,75)","college (1-3 years)","clerical/service","house","white"
"[40,50)","high school graduate","homemaker","house","white"
"[15,20)","high school graduate","clerical/service","apartment","white"
"[25,30)","high school graduate","professional/managerial","house","hispanic"
"[10,15)","grades 9-11","clerical/service","house","hispanic"
"75+","grades 9-11","clerical/service","house","hispanic"
"75+","grades 9-11","student","house","asian"
"[20,25)","high school graduate","laborer","house","hispanic"
"[10,15)","high school graduate","laborer","apartment","white"
"[40,50)","grades 9-11","student","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","student","house","hispanic"
"[15,20)","high school graduate","student","house","hispanic"
"[50,75)","college graduate","professional/managerial","house","white"
"[20,25)","high school graduate","laborer","apartment","hispanic"
"[40,50)","grades 9-11","clerical/service","mobile Home","white"
"[30,40)","high school graduate","laborer","house","white"
"75+","grades 9-11","student","house","other"
"[0,10)","high school graduate","student","house","asian"
"[40,50)","grades 9-11","student","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","other"
"[0,10)","grades 9-11","student","house","other"
"[0,10)","grade <9","student","house","white"
"[0,10)","grade <9","student","apartment","white"
"[0,10)","grades 9-11","student","condominium","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","clerical/service","house","white"
"[0,10)","grades 9-11","clerical/service","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","white"
"[20,25)","college (1-3 years)","student","apartment","hispanic"
"[50,75)","high school graduate","homemaker","house","white"
"[20,25)","college (1-3 years)","homemaker","house","white"
"[50,75)","graduate study","sales","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[40,50)","graduate study","professional/managerial","condominium","white"
"75+","graduate study","professional/managerial","house","white"
"[30,40)","college (1-3 years)","homemaker","house","white"
"[25,30)","grades 9-11","student","house","pacific islander"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","high school graduate","sales","apartment","black"
"[50,75)","college (1-3 years)","homemaker","house","american indian"
"[40,50)","college (1-3 years)","student","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[50,75)","college graduate","professional/managerial","condominium","white"
"[0,10)","high school graduate","laborer","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","homemaker","house","asian"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","homemaker","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","high school graduate","retired","apartment","white"
"[25,30)","college (1-3 years)","clerical/service","apartment","white"
"75+","high school graduate","student","mobile Home","white"
"[10,15)","high school graduate","clerical/service","apartment","white"
"[50,75)","college graduate","homemaker","house","asian"
"[40,50)","college graduate","sales","house","asian"
"[50,75)","college graduate","professional/managerial","other","white"
"[15,20)","high school graduate","sales","house","white"
"[20,25)","high school graduate","professional/managerial","apartment","white"
"75+","graduate study","professional/managerial","house","white"
"75+","college (1-3 years)","homemaker","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","college (1-3 years)","clerical/service","house","white"
"75+","graduate study","professional/managerial","house","hispanic"
"[40,50)","college graduate","professional/managerial","house","white"
"[50,75)","graduate study","homemaker","house","white"
"75+","graduate study","professional/managerial","house","asian"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","high school graduate","sales","house","white"
"[50,75)","grades 9-11","unemployed","house","american indian"
"[15,20)","high school graduate","homemaker","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","white"
"[50,75)","college graduate","professional/managerial","house","asian"
"[50,75)","college (1-3 years)","student","house","white"
"75+","high school graduate","student","house","hispanic"
"[25,30)","graduate study","professional/managerial","house","hispanic"
"[0,10)","high school graduate","military","apartment","white"
"75+","graduate study","professional/managerial","house","white"
"[30,40)","college (1-3 years)","student","apartment","white"
"75+","college (1-3 years)","homemaker","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[50,75)","college (1-3 years)","homemaker","apartment","white"
"[30,40)","college graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","homemaker","house","white"
"75+","graduate study","professional/managerial","house","black"
"[30,40)","college (1-3 years)","laborer","apartment","white"
"75+","college graduate","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","sales","house","white"
"[40,50)","college (1-3 years)","clerical/service","house","white"
"[0,10)","high school graduate","unemployed","house","white"
"[0,10)","college (1-3 years)","student","house","other"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[15,20)","high school graduate","sales","house","white"
"[25,30)","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","professional/managerial","house","white"
"75+","college (1-3 years)","clerical/service","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[15,20)","college (1-3 years)","clerical/service","house","white"
"[40,50)","college (1-3 years)","laborer","house","white"
"[50,75)","high school graduate","clerical/service","house","white"
"[20,25)","college (1-3 years)","professional/managerial","other","asian"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","college graduate","laborer","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","college (1-3 years)","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","college graduate","homemaker","apartment","white"
"75+","graduate study","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","black"
"[15,20)","high school graduate","laborer","apartment","hispanic"
"75+","graduate study","professional/managerial","condominium","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[40,50)","college (1-3 years)","retired","apartment","pacific islander"
"[50,75)","college (1-3 years)","professional/managerial","house","black"
"75+","grades 9-11","unemployed","other","white"
"[20,25)","grades 9-11","laborer","house","black"
"[30,40)","college (1-3 years)","homemaker","house","white"
"[15,20)","high school graduate","student","apartment","white"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","graduate study","homemaker","apartment","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[10,15)","college (1-3 years)","unemployed","apartment","black"
"[15,20)","high school graduate","homemaker","apartment","white"
"[40,50)","graduate study","homemaker","other","white"
"[25,30)","college (1-3 years)","professional/managerial","apartment","other"
"[10,15)","high school graduate","student","house","white"
"[10,15)","high school graduate","homemaker","other","white"
"[15,20)","college (1-3 years)","student","other","white"
"[20,25)","college (1-3 years)","clerical/service","house","white"
"[15,20)","high school graduate","homemaker","apartment","white"
"[40,50)","college (1-3 years)","clerical/service","house","asian"
"[40,50)","college (1-3 years)","student","house","pacific islander"
"[25,30)","grades 9-11","laborer","house","hispanic"
"[25,30)","college (1-3 years)","professional/managerial","apartment","white"
"[25,30)","grades 9-11","homemaker","house","hispanic"
"[25,30)","college (1-3 years)","laborer","apartment","hispanic"
"[20,25)","college graduate","laborer","apartment","white"
"[50,75)","graduate study","homemaker","house","white"
"75+","college graduate","professional/managerial","house","hispanic"
"[25,30)","college (1-3 years)","homemaker","apartment","white"
"[10,15)","high school graduate","student","apartment","white"
"[20,25)","college (1-3 years)","professional/managerial","apartment","white"
"[40,50)","college graduate","professional/managerial","apartment","asian"
"[50,75)","college graduate","professional/managerial","house","asian"
"[50,75)","graduate study","professional/managerial","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","black"
"[15,20)","high school graduate","laborer","house","hispanic"
"[10,15)","high school graduate","clerical/service","house","hispanic"
"[20,25)","grades 9-11","sales","apartment","hispanic"
"[30,40)","high school graduate","clerical/service","house","hispanic"
"[10,15)","college (1-3 years)","laborer","apartment","hispanic"
"[0,10)","grades 9-11","laborer","apartment","hispanic"
"[20,25)","high school graduate","homemaker","apartment","hispanic"
"[40,50)","high school graduate","professional/managerial","house","hispanic"
"[40,50)","high school graduate","laborer","house","hispanic"
"[40,50)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","black"
"[50,75)","college (1-3 years)","clerical/service","house","hispanic"
"[20,25)","high school graduate","homemaker","house","hispanic"
"[30,40)","high school graduate","clerical/service","other","hispanic"
"[0,10)","graduate study","clerical/service","apartment","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[30,40)","high school graduate","clerical/service","condominium","hispanic"
"[0,10)","grades 9-11","clerical/service","house","hispanic"
"[15,20)","grades 9-11","clerical/service","house","hispanic"
"[40,50)","high school graduate","professional/managerial","house","hispanic"
"[0,10)","high school graduate","sales","house","hispanic"
"[50,75)","grades 9-11","clerical/service","house","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"75+","college (1-3 years)","homemaker","house","hispanic"
"[50,75)","college graduate","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[10,15)","grade <9","laborer","house","hispanic"
"[40,50)","grades 9-11","laborer","house","hispanic"
"[0,10)","high school graduate","homemaker","apartment","hispanic"
"[0,10)","high school graduate","clerical/service","house","hispanic"
"[0,10)","college (1-3 years)","sales","house","hispanic"
"[25,30)","college (1-3 years)","professional/managerial","apartment","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[15,20)","high school graduate","sales","condominium","hispanic"
"[25,30)","high school graduate","sales","house","hispanic"
"[40,50)","college (1-3 years)","student","house","hispanic"
"[15,20)","high school graduate","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[15,20)","grades 9-11","professional/managerial","house","hispanic"
"[10,15)","college (1-3 years)","unemployed","apartment","hispanic"
"[0,10)","grade <9","homemaker","house","hispanic"
"[15,20)","grades 9-11","sales","house","white"
"[10,15)","high school graduate","sales","apartment","hispanic"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","homemaker","other","hispanic"
"[15,20)","grade <9","homemaker","house","hispanic"
"[15,20)","graduate study","homemaker","house","hispanic"
"[10,15)","high school graduate","clerical/service","other","hispanic"
"[10,15)","high school graduate","homemaker","house","hispanic"
"[10,15)","high school graduate","laborer","house","hispanic"
"[50,75)","high school graduate","professional/managerial","house","hispanic"
"[0,10)","college (1-3 years)","unemployed","house","hispanic"
"[25,30)","college (1-3 years)","clerical/service","house","hispanic"
"[25,30)","grades 9-11","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[25,30)","grade <9","laborer","house","hispanic"
"[30,40)","grades 9-11","laborer","apartment","hispanic"
"[25,30)","high school graduate","homemaker","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","apartment","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[15,20)","high school graduate","laborer","house","hispanic"
"[25,30)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[25,30)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[25,30)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[10,15)","high school graduate","laborer","house","hispanic"
"[0,10)","high school graduate","unemployed","house","hispanic"
"[20,25)","high school graduate","clerical/service","apartment","hispanic"
"[15,20)","grades 9-11","sales","house","hispanic"
"[0,10)","high school graduate","unemployed","apartment","hispanic"
"[40,50)","college (1-3 years)","professional/managerial","house","hispanic"
"[20,25)","high school graduate","unemployed","house","hispanic"
"[15,20)","high school graduate","unemployed","apartment","hispanic"
"[25,30)","high school graduate","unemployed","apartment","hispanic"
"[15,20)","high school graduate","laborer","house","hispanic"
"[25,30)","high school graduate","unemployed","apartment","hispanic"
"[25,30)","high school graduate","laborer","house","hispanic"
"[0,10)","grades 9-11","unemployed","apartment","hispanic"
"[0,10)","high school graduate","unemployed","house","hispanic"
"[0,10)","grades 9-11","unemployed","house","hispanic"
"[10,15)","college (1-3 years)","homemaker","apartment","hispanic"
"[15,20)","grades 9-11","clerical/service","apartment","hispanic"
"[20,25)","college (1-3 years)","laborer","house","hispanic"
"[40,50)","college (1-3 years)","laborer","house","white"
"[10,15)","graduate study","professional/managerial","house","hispanic"
"[30,40)","grade <9","sales","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grade <9","clerical/service","apartment","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[10,15)","grades 9-11","student","apartment","hispanic"
"[0,10)","grades 9-11","student","condominium","hispanic"
"[0,10)","grades 9-11","student","other","asian"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","grades 9-11","student","other","hispanic"
"[40,50)","high school graduate","clerical/service","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[10,15)","grades 9-11","sales","condominium","hispanic"
"[10,15)","grades 9-11","homemaker","house","hispanic"
"[15,20)","grades 9-11","homemaker","house","hispanic"
"[50,75)","high school graduate","laborer","house","hispanic"
"[15,20)","college (1-3 years)","laborer","apartment","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","high school graduate","laborer","apartment","hispanic"
"[0,10)","grades 9-11","laborer","house","hispanic"
"[0,10)","grades 9-11","laborer","apartment","hispanic"
"[15,20)","high school graduate","military","apartment","hispanic"
"[0,10)","grades 9-11","laborer","condominium","black"
"[20,25)","college (1-3 years)","clerical/service","house","hispanic"
"[15,20)","college (1-3 years)","clerical/service","house","hispanic"
"[30,40)","college (1-3 years)","professional/managerial","house","hispanic"
"[50,75)","graduate study","professional/managerial","house","hispanic"
"[30,40)","high school graduate","clerical/service","apartment","hispanic"
